"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2018","2018",181.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2019","2019",187.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2020","2020",189.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2021","2021",192.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2010","2010",107.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2011","2011",111.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2012","2012",112.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2013","2013",114.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2014","2014",117.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2015","2015",119.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2016","2016",196,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2017","2017",198.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2018","2018",203.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2019","2019",210.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2020","2020",235.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2021","2021",263.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2022","2022",285.1,"D; P","Difference in methodology; Provisional value"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2010","2010",236.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2011","2011",240.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2012","2012",246.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2013","2013",256,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2014","2014",259.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2015","2015",281,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2016","2016",285.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2017","2017",292.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2018","2018",306.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2019","2019",303.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2020","2020",337,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czechia","2021","2021",353.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2010","2010",154.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2011","2011",157.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2012","2012",163.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2013","2013",165.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2014","2014",169.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2015","2015",174.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2016","2016",178,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2017","2017",180.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2018","2018",181.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2019","2019",186,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2020","2020",194.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2021","2021",202.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2010","2010",312,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2011","2011",314,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2012","2012",309.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2013","2013",305.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2014","2014",306.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2015","2015",305.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2016","2016",307.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2017","2017",302.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2018","2018",305.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2019","2019",315,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2020","2020",326.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2021","2021",334.6,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2010","2010",135,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2011","2011",142.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2012","2012",154.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2013","2013",161.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2014","2014",163.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2015","2015",166.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2016","2016",172.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2017","2017",171.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2018","2018",169.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2019","2019",176.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2020","2020",170.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FRA","France","2021","2021",177,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2010","2010",183.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2011","2011",190.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2012","2012",217,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2013","2013",221.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2014","2014",227,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2015","2015",228.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2016","2016",232.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2017","2017",227.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2018","2018",228.9,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2019","2019",230.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2020","2020",232.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2021","2021",237.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2013","2013",168.2,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2014","2014",175.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2015","2015",186.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2017","2017",214.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2018","2018",252.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2019","2019",270.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2020","2020",300.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2021","2021",356.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2022","2022",342.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2010","2010",200.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2011","2011",214.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2012","2012",221.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2013","2013",234.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2014","2014",247.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2015","2015",256,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2016","2016",269.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2017","2017",271.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2018","2018",280.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2019","2019",295.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2020","2020",373.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2021","2021",411.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2022","2022",403.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2010","2010",146.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2011","2011",133,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2012","2012",137,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2013","2013",144.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2014","2014",146.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2015","2015",155.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2016","2016",164,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2017","2017",170.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2018","2018",174.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2019","2019",178.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2020","2020",186.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2021","2021",194.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ISL","Iceland","2022","2022",195.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2011","2011",207.6,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2012","2012",218.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2013","2013",235,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2014","2014",248.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2015","2015",267.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2016","2016",287.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2017","2017",307.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2018","2018",327.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2019","2019",334.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2020","2020",290,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2021","2021",318.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","ITA","Italy","2022","2022",317.6,"E","Estimated value"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2010","2010",278.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2011","2011",240.6,"B","Break"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2012","2012",245.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2013","2013",330.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2014","2014",422.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2015","2015",370,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2016","2016",217.5,"B","Break"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2017","2017",219.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2018","2018",223.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2019","2019",256,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2020","2020",315.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","KOR","Korea","2021","2021",325.6,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","LUX","Luxembourg","2010","2010",249.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","LUX","Luxembourg","2011","2011",303,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","LUX","Luxembourg","2012","2012",360.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","LUX","Luxembourg","2013","2013",396.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","LUX","Luxembourg","2014","2014",415.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","LUX","Luxembourg","2015","2015",453.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","LUX","Luxembourg","2016","2016",465.8,"D","Difference in methodology"
